name,slug,value,date_of_information,ranking,region
"Cyprus","cyprus","6.13","2021 est.","102","Europe"
"Austria","austria","6.30","2021 est.","103","Europe"
"Estonia","estonia","6.33","2021 est.","104","Europe"
"Guinea","guinea","6.34","2021 est.","105","Africa"
"Venezuela","venezuela","6.41","2021 est.","106","South America"
"Belgium","belgium","6.42","2021 est.","107","Europe"
"Ecuador","ecuador","6.43","2021 est.","108","South America"
"Central African Republic","central-african-republic","6.57","2021 est.","109","Africa"
"Azerbaijan","azerbaijan","6.58","2021 est.","110","Middle East"
"Ireland","ireland","6.63","2021 est.","111","Europe"
"Portugal","portugal","6.65","2021 est.","112","Europe"
"Slovakia","slovakia","6.74","2021 est.","113","Europe"
"Guinea-Bissau","guinea-bissau","6.76","2021 est.","114","Africa"
"Guam","guam","6.98","2021 est.","115","Australia and Oceania"
"Bermuda","bermuda","7.00","2017 est.","116","North America"
"Malawi","malawi","7.02","2021 est.","117","Africa"
"Mongolia","mongolia","7.08","2021 est.","118","East and Southeast Asia"
"Uzbekistan","uzbekistan","7.16","2021 est.","119","Central Asia"
"Paraguay","paraguay","7.21","2021 est.","120","South America"
"Saudi Arabia","saudi-arabia","7.36","2021 est.","121","Middle East"
"Guernsey","guernsey","7.37","2021 est.","122","Europe"
"Jersey","jersey","7.37","2021 est.","123","Europe"
"Mauritius","mauritius","7.41","2021 est.","124","Africa"
"Canada","canada","7.51","2021 est.","125","North America"
"Finland","finland","7.53","2021 est.","126","Europe"
"Latvia","latvia","7.60","2021 est.","127","Europe"
"Brunei","brunei","7.65","2021 est.","128","East and Southeast Asia"
"Aruba","aruba","7.70","2016 est.","129","Central America and the Caribbean"
"Mali","mali","7.72","2021 est.","130","Africa"
"Tajikistan","tajikistan","7.75","2021 est.","131","Central Asia"
"Lithuania","lithuania","7.90","2021 est.","132","Europe"
"Anguilla","anguilla","8.00","2002","133","Central America and the Caribbean"
"Eritrea","eritrea","8.05","2021 est.","134","Africa"
"France","france","8.06","2021 est.","135","Europe"
"San Marino","san-marino","8.10","2017 est.","136","Europe"
"Belize","belize","8.22","2021 est.","137","Central America and the Caribbean"
"Puerto Rico","puerto-rico","8.27","2021 est.","138","Central America and the Caribbean"
"Dominican Republic","dominican-republic","8.50","2021 est.","139","Central America and the Caribbean"
"Bolivia","bolivia","8.51","2021 est.","140","South America"
"Honduras","honduras","8.51","2021 est.","141","Central America and the Caribbean"
"Angola","angola","8.53","2021 est.","142","Africa"
"Sweden","sweden","8.66","2021 est.","143","Europe"
"Croatia","croatia","8.68","2021 est.","144","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","8.70","2015 est.","145","North America"
"Wallis and Futuna","wallis-and-futuna","8.80","2013 est.","146","Australia and Oceania"
"Ukraine","ukraine","8.88","2021 est.","147","Europe"
"Greenland","greenland","9.10","2015 est.","148","North America"
"Kyrgyzstan","kyrgyzstan","9.10","2021 est.","149","Central Asia"
"Chile","chile","9.13","2021 est.","150","South America"
"Jamaica","jamaica","9.18","2021 est.","151","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","9.24","2021 est.","152","Africa"
"Egypt","egypt","9.33","2021 est.","153","Africa"
"Comoros","comoros","9.45","2021 est.","154","Africa"
"Nigeria","nigeria","9.79","2021 est.","155","Africa"
"Italy","italy","9.83","2021 est.","156","Europe"
"Samoa","samoa","9.84","2021 est.","157","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","10.00","1997 est.","158","Central America and the Caribbean"
"Suriname","suriname","10.06","2021 est.","159","South America"
"Barbados","barbados","10.41","2021 est.","160","Central America and the Caribbean"
"Uruguay","uruguay","10.45","2021 est.","161","South America"
"Syria","syria","10.57","2021 est.","162","Middle East"
"Georgia","georgia","10.66","2021 est.","163","Middle East"
"Argentina","argentina","10.90","2021 est.","164","South America"
"Antigua and Barbuda","antigua-and-barbuda","11.00","2014 est.","165","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","11.20","2010 est.","166","Australia and Oceania"
"Gambia, The","gambia-the","11.21","2021 est.","167","Africa"
"Iran","iran","11.46","2021 est.","168","Middle East"
"Mauritania","mauritania","11.46","2021 est.","169","Africa"
"Morocco","morocco","11.47","2021 est.","170","Africa"
"Serbia","serbia","11.81","2021 est.","171","Europe"
"Albania","albania","11.82","2021 est.","172","Europe"
"Niue","niue","12.00","2001","173","Australia and Oceania"
"Sint Maarten","sint-maarten","12.00","2012 est.","174","Central America and the Caribbean"
"Panama","panama","12.09","2021 est.","175","Central America and the Caribbean"
"Algeria","algeria","12.70","2021 est.","176","Africa"
"Curacao","curacao","13.00","2013 est.","177","Central America and the Caribbean"
"Zambia","zambia","13.03","2021 est.","178","Africa"
"Cook Islands","cook-islands","13.10","2005","179","Australia and Oceania"
"Bahamas, The","bahamas-the","13.24","2021 est.","180","Central America and the Caribbean"
"Virgin Islands","virgin-islands","13.27","2021 est.","181","Central America and the Caribbean"
"Afghanistan","afghanistan","13.28","2021 est.","182","South Asia"
"Turkey (Turkiye)","turkey-turkiye","13.39","2021 est.","183","Middle East"
"Yemen","yemen","13.57","2021 est.","184","Middle East"
"South Sudan","south-sudan","13.91","2021 est.","185","Africa"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","14.00","1998 est.","186","Africa"
"Iraq","iraq","14.19","2021 est.","187","Middle East"
"Colombia","colombia","14.34","2021 est.","188","South America"
"French Polynesia","french-polynesia","14.39","2021 est.","189","Australia and Oceania"
"Brazil","brazil","14.40","2021 est.","190","South America"
"Lebanon","lebanon","14.49","2021 est.","191","Middle East"
"Spain","spain","14.73","2021 est.","192","Europe"
"Greece","greece","14.80","2021 est.","193","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","15.22","2021 est.","194","Europe"
"Cabo Verde","cabo-verde","15.42","2021 est.","195","Africa"
"Haiti","haiti","15.73","2021 est.","196","Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","15.91","2021 est.","197","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","16.20","2010 est.","198","Australia and Oceania"
"North Macedonia","north-macedonia","16.20","2021 est.","199","Europe"
"Guyana","guyana","16.42","2021 est.","200","South America"
"New Caledonia","new-caledonia","16.57","2021 est.","201","Australia and Oceania"
"Tunisia","tunisia","16.82","2021 est.","202","Africa"
"Saint Lucia","saint-lucia","16.91","2021 est.","203","Central America and the Caribbean"
"Costa Rica","costa-rica","17.95","2021 est.","204","Central America and the Caribbean"
"Montenegro","montenegro","18.49","2021 est.","205","Europe"
"Jordan","jordan","19.25","2021 est.","206","Middle East"
"Libya","libya","19.58","2021 est.","207","Africa"
"Sudan","sudan","19.81","2021 est.","208","Africa"
"Somalia","somalia","19.86","2021 est.","209","Africa"
"Armenia","armenia","20.90","2021 est.","210","Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","21.62","2021 est.","211","Central America and the Caribbean"
"Namibia","namibia","21.68","2021 est.","212","Africa"
"Gabon","gabon","22.26","2021 est.","213","Africa"
"Dominica","dominica","23.00","2000 est.","214","Central America and the Caribbean"
"Nauru","nauru","23.00","2011 est.","215","Australia and Oceania"
"Congo, Republic of the","congo-republic-of-the","23.01","2021 est.","216","Africa"
"Grenada","grenada","24.00","2017 est.","217","Central America and the Caribbean"
"Lesotho","lesotho","24.60","2021 est.","218","Africa"
"Botswana","botswana","24.72","2021 est.","219","Africa"
"Gaza Strip","gaza-strip","24.90","2021 est.","220","Middle East"
"West Bank","west-bank","24.90","2021 est.","221","Middle East"
"Eswatini","eswatini","25.76","2021 est.","222","Africa"
"Djibouti","djibouti","28.39","2021 est.","223","Africa"
"American Samoa","american-samoa","29.80","2005","224","Australia and Oceania"
"Kosovo","kosovo","30.50","2017 est.","225","Europe"
"Kiribati","kiribati","30.60","2010 est.","226","Australia and Oceania"
"South Africa","south-africa","33.56","2021 est.","227","Africa"
"Marshall Islands","marshall-islands","36.00","2006 est.","228","Australia and Oceania"
