name,slug,value,date_of_information,ranking,region
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$102,956,000,000","2021 est.","91","Africa"
"Jordan","jordan","$102,822,000,000","2021 est.","92","Middle East"
"Cameroon","cameroon","$100,648,000,000","2021 est.","93","Africa"
"Bolivia","bolivia","$97,266,000,000","2021 est.","94","South America"
"Turkmenistan","turkmenistan","$92,331,000,000","2019 est.","95","Central Asia"
"Paraguay","paraguay","$91,759,000,000","2021 est.","96","South America"
"Slovenia","slovenia","$84,400,000,000","2021 est.","97","Europe"
"Uruguay","uruguay","$78,121,000,000","2021 est.","98","South America"
"Luxembourg","luxembourg","$74,045,000,000","2021 est.","99","Europe"
"Yemen","yemen","$73,630,000,000","2017 est.","100","Middle East"
"Lebanon","lebanon","$72,577,000,000","2021 est.","101","Middle East"
"Bahrain","bahrain","$72,267,000,000","2021 est.","102","Middle East"
"Cambodia","cambodia","$72,238,000,000","2021 est.","103","East and Southeast Asia"
"Zambia","zambia","$63,030,000,000","2021 est.","104","Africa"
"Afghanistan","afghanistan","$60,803,000,000","2021 est.","105","South Asia"
"Latvia","latvia","$60,457,000,000","2021 est.","106","Europe"
"Senegal","senegal","$58,991,000,000","2021 est.","107","Africa"
"Laos","laos","$58,264,000,000","2021 est.","108","East and Southeast Asia"
"Georgia","georgia","$57,434,000,000","2021 est.","109","Middle East"
"El Salvador","el-salvador","$57,371,000,000","2021 est.","110","Central America and the Caribbean"
"Honduras","honduras","$57,273,000,000","2021 est.","111","Central America and the Caribbean"
"Estonia","estonia","$51,531,000,000","2021 est.","112","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$51,244,000,000","2021 est.","113","Europe"
"Syria","syria","$50,280,000,000","2015 est.","114","Middle East"
"Burkina Faso","burkina-faso","$48,175,000,000","2021 est.","115","Africa"
"Mali","mali","$46,452,000,000","2021 est.","116","Africa"
"Macau","macau","$44,490,000,000","2021 est.","117","East and Southeast Asia"
"Benin","benin","$43,170,000,000","2021 est.","118","Africa"
"Madagascar","madagascar","$42,322,000,000","2021 est.","119","Africa"
"Albania","albania","$40,822,000,000","2021 est.","120","Europe"
"Korea, North","korea-north","$40,000,000,000","2015 est.","121","East and Southeast Asia"
"Armenia","armenia","$39,613,000,000","2021 est.","122","Middle East"
"Mozambique","mozambique","$39,351,000,000","2021 est.","123","Africa"
"Mongolia","mongolia","$39,063,000,000","2021 est.","124","East and Southeast Asia"
"Nicaragua","nicaragua","$38,628,000,000","2021 est.","125","Central America and the Caribbean"
"Botswana","botswana","$38,415,000,000","2021 est.","126","Africa"
"Tajikistan","tajikistan","$38,058,000,000","2021 est.","127","Central Asia"
"Cyprus","cyprus","$37,546,000,000","2021 est.","128","Europe"
"Moldova","moldova","$36,637,000,000","2021 est.","129","Europe"
"Papua New Guinea","papua-new-guinea","$36,589,000,000","2021 est.","130","East and Southeast Asia"
"Guinea","guinea","$35,729,000,000","2021 est.","131","Africa"
"Trinidad and Tobago","trinidad-and-tobago","$35,147,000,000","2021 est.","132","Central America and the Caribbean"
"North Macedonia","north-macedonia","$34,007,000,000","2021 est.","133","Europe"
"Zimbabwe","zimbabwe","$33,829,000,000","2021 est.","134","Africa"
"Haiti","haiti","$32,856,000,000","2021 est.","135","Central America and the Caribbean"
"Gabon","gabon","$32,340,000,000","2021 est.","136","Africa"
"Kyrgyzstan","kyrgyzstan","$32,221,000,000","2021 est.","137","Central Asia"
"Rwanda","rwanda","$30,141,000,000","2021 est.","138","Africa"
"Niger","niger","$29,964,000,000","2021 est.","139","Africa"
"Malawi","malawi","$29,658,000,000","2021 est.","140","Africa"
"Gaza Strip","gaza-strip","$27,779,000,000","2021 est.","141","Middle East"
"West Bank","west-bank","$27,779,000,000","2021 est.","142","Middle East"
"Jamaica","jamaica","$27,136,000,000","2021 est.","143","Central America and the Caribbean"
"Brunei","brunei","$26,779,000,000","2021 est.","144","East and Southeast Asia"
"Mauritius","mauritius","$26,547,000,000","2021 est.","145","Africa"
"Mauritania","mauritania","$24,494,000,000","2021 est.","146","Africa"
"Chad","chad","$24,490,000,000","2021 est.","147","Africa"
"Equatorial Guinea","equatorial-guinea","$23,924,000,000","2021 est.","148","Africa"
"Malta","malta","$23,157,000,000","2021 est.","149","Europe"
"Namibia","namibia","$23,120,000,000","2021 est.","150","Africa"
"Kosovo","kosovo","$21,226,000,000","2021 est.","151","Europe"
"South Sudan","south-sudan","$20,010,000,000","2017 est.","152","Africa"
"Iceland","iceland","$19,962,000,000","2021 est.","153","Europe"
"Somalia","somalia","$19,399,000,000","2021 est.","154","Africa"
"Congo, Republic of the","congo-republic-of-the","$18,875,000,000","2021 est.","155","Africa"
"Togo","togo","$18,369,000,000","2021 est.","156","Africa"
"Guyana","guyana","$17,640,000,000","2021 est.","157","South America"
"Sierra Leone","sierra-leone","$13,597,000,000","2021 est.","158","Africa"
"Montenegro","montenegro","$12,757,000,000","2021 est.","159","Europe"
"Bahamas, The","bahamas-the","$12,323,000,000","2021 est.","160","Central America and the Caribbean"
"New Caledonia","new-caledonia","$11,110,000,000","2017 est.","161","Australia and Oceania"
"Eswatini","eswatini","$10,560,000,000","2021 est.","162","Africa"
"Maldives","maldives","$9,785,000,000","2021 est.","163","South Asia"
"Eritrea","eritrea","$9,702,000,000","2017 est.","164","Africa"
"Fiji","fiji","$9,578,000,000","2021 est.","165","Australia and Oceania"
"Suriname","suriname","$9,052,000,000","2021 est.","166","South America"
"Burundi","burundi","$8,849,000,000","2021 est.","167","Africa"
"Bhutan","bhutan","$8,481,000,000","2021 est.","168","South Asia"
