0,1,2
2022,BLM,"7,103"
2022,MSR,"5,414"
2022,SPM,"5,257"
2016,FLK,"3,198"
Janu,SJM,"2,926"
2016,CXR,"2,205"
July,NIU,"2,000"
2016,NFK,"1,748"
2019,TKL,"1,647"
2022,VAT,"1,000"
July,CCK,596
2021,PCN,50
